Address
1 Caribel Road
1 Carlton Avenue
1 Carmont 107 Mountain Rise
1 Cobban Road
1 Crookit Avenue
1 Erskine Terrace
1 Erskine Terrace
1 Herbert Andrews Road
1 Highway Pl
1 Highway Place
"1 Mount Carmel, 631 Peter Mokaba Ridge Road"
"1 Myryle Mansions, 246 Esther Roberts Road"
1 Old Mill Road
1 Peace Avenue
1 Peace Avenue
1 Riverhorse Close
"1 Ss Oliver Mews, 90 Cromwell"
1 The Oaks 4 Albion Place
1 Victoria Embankment Avenue
1 Weaver Road
10 Allandale Road
10 Ballance Road
10 Ballance Road
10 Briardene Drive
10 Bristow Crescent
10 Bristow Crescent Modem
10 Brooklyn Road
10 Burman Drive
10 Burman Drive
10 Charles Burge Road
10 Gousblom Street
10 Guildford Avenue
10 Hewitt Rd
10 Magenta Place
10 Marine Parade
10 Maze Road
10 Palm Springs 155 Peter Mokaba
10 Springfield
10 Woodlands Road
"100 45th Avenue,"
100 Bushlands Road
100 Musgrave Road
100 Queen Nandi Drive
100 Tyger Avenue
100 Tyger Avenue
100 Windmill Road
101 School Road
101 Tyger Ave Greenwood Park
101 Victoria Embankment Avenue
101a Innes Road
103 Gillespie Street
104 Clayton Road
104 Margaret Mncadi Avenue
104 Victoria Embankment Avenue
107 Oriel Road
1077 Sarnia Road
108 Premary Ridge
109 Khuzimpi Shezi Road
109 Sydney Road
109 Sydney Road
11 Abbey Road
11 Aloe Terrace
11 Harleigh Court 182 Brand Road
11 Healer Place
"11 Listlyn, 28 York Avenue"
11 Manton Crescent
11 Marathon Road
11 Nathaniel Isaacs Crescent
11 Peter Mokaba Ridge Road
"11 Ss Sunset View, 449 Queen Elizabeth Avenue"
11 Sycamore Road
110 Springfield Road Morningside
111 6th Avenue
111 6th Avenue
111 Peter Mokaba Ridge
1117 Sarnia Road
112 Helen Joseph Road
112 Maxwell
112 Mountain Rise Street
115 Mountain Rise
115 Trematon Drive
1161 Radebe Street
117 Dunkeld Road
117 Essenwood Road
117 Snell Parade
117 Snell Parade
117 Stephen Dlamini Road
118 Bowen Avenue
119 Bulwer Road
119 Clarence Road
119 Smiso Nkwanyana Road
12 Dock Point 31 Timeball Boulevard
12 Ibsen Road
12 Pelham Road
12 Peter Road
12 Waynes Avenue
120 Edenroc Retirement Hotel 119 Snell Parade
120 Folkestone Road
120 Helen Joseph Road
120 Lilian Ngoyi Road
121 Brand Road
121 Brand Road
123 Hignett Road
123 Hignett Road
123 Teignmouth Road
123 Thompson Road
123 Winchelsea Avenue
124 Esther Roberts Road
125 Brindle Place
125 Currie Road
125 Florida Road
125 Mazisi Kunene Road
125 Oriel Road
125 Ronald Road
125 Ronald Road
125 Stephen Dlamini Road
125 Wandsbeck Road
127 Chiltern Drive
127 Victoria Road
129 Loon Road
129 Loon Road
13 Broad Street
13 Broad Street
"13 Carisford, 434 Lilian Ngoyi Road"
13 Crompton Gardens
13 Dr Yusuf Dadoo Street
13 King Cetshwayo Highway
"13 Ss San Juan, 270 Problem Mkhize Road"
130 Beacon Road
130 Cluver Crescent
130 Gillespie St
130 Gillespie Street
131 Bath Road
131 Bulwer Road
132 Musgrave Road
134 Mahatma Gandhi Road
134 Mahatma Gandhi Road
134 Mahatma Gandhi Road
134 Mahatma Gandhi Road
134 Mahatma Gandhi Road
134 Mahatma Gandhi Road
134 Mahatma Gandhi Road
134 Mahatma Gandhi Road
134 Mahatma Gandhi Road
134 Mahatma Gandhi Road
134 Mahatma Gandhi Road
134 Mahatma Gandhi Road
134 Mahatma Gandhi Road
134 Mahatma Gandhi Road
134 Mahatma Gandhi Road
134 Mahatma Gandhi Road
134 Mahatma Gandhi Road
134 Mahatma Gandhi Road
134 Mahatma Gandhi Road
134 Mahatma Gandhi Road
134 Mahatma Gandhi Road
134 Mahatma Gandhi Road
134 Mahatma Gandhi Road
135 Barvale Drive
135 Snell Parade
136 Gladys Mazibuko Road
138 Horseshoe Road
139 Buldana Road
139 Stephan Dlamini Road
1394 Bluff Road
1394 Bluff Road
14 Atholl Crescent
14 Calgary Grove
14 Cato Road
14 Cato Road
14 Constantia Road
14 Kearsney Road
14 Kinmont Crescent
14 Musgrave Road
"14 Ocean Way, 30 Prince Street"
14 Ripley Terrace
"14 Ss Lutton, 6 Philip Avenue"
14 Timeball Boulevard
1400 Bluff Road
143 Bellevue Road
143 Bellevue Road
143 Fenniscowles Road
143 Manning Road
143 O.r. Tambo Parade
143 Snell Parade
144 Wattle Grove
144 Wattle Grove
145 Avondale
145 Lambert Road
145a Peter Mokaba Ridge Street
146 Mathews Meyiwa Road
146 Winchelsea Avenue
147 OR Tambo Parade
147 Snell Parade
147 Snell Parade
15 Berea Park Road
15 Cadley Close
15 Charles Grove
15 Dunkirk Place
15 Joe Slovo Street
15 Netford Road
15 O R Tambo Parade
15 O.r. Tambo Parade
15 Percy Osborn Road
15 Rothesy Place
15 Stella Grove
15 Sycamore Road
15 Woodburn Place
151 Horseshoe Road
151 Innes Road
151 Innes Road
151 Innes Road
151 Problem Mkhize
151 Prospect Road
151 Prospect Road
151 Wakesleigh Road (ss 1 Of 476/1997 - Erf 8 Bellair)
152 Lamont Road
152 Stella Road
154 Lena Ahrens Road
154 Winchester Drive
156 Marine Drive
158 Innes Road
159 Arundel Road
16 Budree Crescent
16 Down Avenue
16 Eastbourne Road
16 Hurst Grove
16 Lillian Nygoyi Road
16 Purley Road
16 Stanhope
16 Tasneem Crescent
160 Riley Road
161 Dr Hoosen Haffajee Road
161 Riley Road
162 Clarence Road
163 Lilian Ngoyi Road
164 Riley Road
166 Bluff Road
166 Margaret Mncadi Road
167 Snell Parade
167 Snell Parade
167 Snell Parade
168-172 Voortrekker Road
168/172 Voortrekker Street
169 Elf Place
169 Esther Roberts Road
169 King Dinuzulu Road South
17 10 Bristow Crescent
17 Boscombe
17 Boscombe Place
17 Boscombe Road
17 Boscombe Street
17 Bulwer Road
17 Helen Drive
17 Lena Ahrens
17 Peace Avenue
17 Peter Mokaba
17 Samora Machel St
17 Samora Machel Street
"17, 18, 19, 20, 22 123 Madeline Road"
170 Firwood Road
174 Sydenham ( John Zikhali) Road
175 Brighton Road
176 Blamey Road
176 Blamey Road
177 Venice Road
18 Celtic Road
18 Forest Lane
18 Fowey Avenue
18 Hopecraig Avenue
18 Keston Crescent
"18 Musgrave Road, Musgrave, Berea,4001"
180 Brand Road
"1801 Grosvenor Court, 41 Snel Parade"
182 Brand Road
183 Prince
183 Prince Street
183 Prince Street
183 Prince Street
183 Problem Mkhize Road
184 Marine Parade
185 Moss Road
185 O R Tambo Parade
186 Margaret Mncadi Ave
186 Margaret Mncadi Avenue
186 Margaret Mncadi Avenue
186 Margaret Mngadi Road
186 Victoria Embankment
188 Sandile Thusi Road
188 Silverton Road
189 Percy Osborn Road
189 Prince Street
189 Prince Street
189 Prince Street
19 Grants Grove
19 Grants Grove
19 Lavery Crescent
19 Olympic Avenue
19 Olympic Avenue
19 Olympic Avenue
19 Prince Street
19 Prince Street
19 Prince Street
19 Prince Street
19 Prince Street
19 Ross Gardens
19 West Cross Road
190 Bontanical Gardens Road
190 Botanic Gardens Road
190 Marine Drive
190 Mazisi Kunene Road
"1907 Belmont Arcade, 95 O.r. Tambo Parade"
191 Trematon Drive
192 J.b. Marks Road
192 Mclarty Road
193 Dr Hoosen Haffajee Road
194 Stephen Dlamini Road
195 Che Guevara Road
195 Kenville Road
195 Percy Osborn Road
195 Percy Osborn Road
195 Percy Osborne
196 Dr Hoosen Haffajee Road
196 Sphiwe Zuma Avenue
199 O R Tambo Parade
"2 Ashby Lodge, 11 Ashby Road"
"2 Carn Brea, 238 Saint Thomas Road"
2 Cato
2 Erskine Terrace
2 Erwood Place
2 Fenton Road
2 Fenton Road
2 Grafton Street
2 Grafton Street
2 Hampden Road
2 Hazel Road
2 Kilmarnock Place
2 Musgrave
2 Ninapur Road
2 Palm Springs 155 Peter Mokaba Road
2 Philip Avenue
"2 Ss 376 Currie Road, 376 Currie Road"
2 Susan Place
2 Sutton Crescent
20 A Larch Road
20 Donald Road
20 Erskine Terrace
20 Foreshore Drive
